experiment,target_scale,r2,rmse,mae,r2_linear,rmse_linear,mae_linear
mat2vec,log10_sigma,0.713251613039893,1.434102751777881,0.8867505704754887,0.4353711981677144,0.0019523477970731333,0.0005707832267502596
megnet16,log10_sigma,0.658690826965807,1.5646015553354413,0.9741074997383776,0.4313307819723109,0.001959320728644306,0.0005767613042421242
magpie,log10_sigma,0.6936444633295559,1.4823223068185705,0.9484491974679332,0.3357198792588315,0.002117635948271011,0.0006249156447124535
all_embeddings,log10_sigma,0.7004180569865323,1.465843460797972,0.9064956603320291,0.46495906943128484,0.0019005056988315346,0.0005383051530641925
magpie_only_linear_sigma,linear_sigma,,,,0.48795312362670706,0.0018592189335253832,0.0006404616066459547
